id	rp	sp	choice	purpose	npersons	age	employ_status	mainearn	arrival_time	gender	rail_ivtt	rail_cost	rail_transfers	rail_acc_time	rail_egr_time	rail_acc_mode	rail_egr_mode	seat_status	car_ivtt	car_cost	car_walk_time	car_parking_fee	rail_comfort	rp_transfer	rp_choice	rp_rail_ovt	rp_car_ovt
1	1	0	0	0	3	0	0	0	0	1	2	40	0	0.333	0.167	0	0	0	1	5	0.167	0	-1	0	0	0.5	0.167
1	0	1	10	0	3	0	0	0	0	1	2.167	24	0	-1	-1	-1	-1	-1	1.167	7.5	-1	-1	0	0	0	0.5	0.167
1	0	1	10	0	3	0	0	0	0	1	2.167	24	0	-1	-1	-1	-1	-1	1.167	7	-1	-1	0	0	0	0.5	0.167
1	0	1	10	0	3	0	0	0	0	1	2.167	24	0	-1	-1	-1	-1	-1	1.167	6.5	-1	-1	0	0	0	0.5	0.167
1	0	1	10	0	3	0	0	0	0	1	2.167	24	0	-1	-1	-1	-1	-1	1.167	6	-1	-1	0	0	0	0.5	0.167
1	0	1	10	0	3	0	0	0	0	1	2.167	24	0	-1	-1	-1	-1	-1	1.167	5.5	-1	-1	0	0	0	0.5	0.167
1	0	1	10	0	3	0	0	0	0	1	2.167	24	0	-1	-1	-1	-1	-1	1.167	5	-1	-1	0	0	0	0.5	0.167
1	0	1	10	0	3	0	0	0	0	1	2.5	32	0	-1	-1	-1	-1	-1	1.167	5	-1	-1	0	0	0	0.5	0.167
1	0	1	10	0	3	0	0	0	0	1	2.5	24	0	-1	-1	-1	-1	-1	1.167	5	-1	-1	1	0	0	0.5	0.167
2	1	0	0	0	5	0	1	0	0	1	1.633	35	0	0.133	0.25	0	0	0	1.5	9	0.017	1	-1	0	0	0.383	0.017
2	0	1	10	0	5	0	1	0	0	1	1.55	24.5	0	-1	-1	-1	-1	-1	1.517	13.5	-1	-1	1	0	0	0.383	0.017
2	0	1	10	0	5	0	1	0	0	1	1.55	24.5	0	-1	-1	-1	-1	-1	1.517	12.6	-1	-1	1	0	0	0.383	0.017
2	0	1	10	0	5	0	1	0	0	1	1.55	24.5	0	-1	-1	-1	-1	-1	1.517	11.7	-1	-1	1	0	0	0.383	0.017
2	0	1	10	0	5	0	1	0	0	1	1.55	24.5	0	-1	-1	-1	-1	-1	1.517	10.8	-1	-1	1	0	0	0.383	0.017
2	0	1	10	0	5	0	1	0	0	1	1.55	24.5	0	-1	-1	-1	-1	-1	1.517	9.9	-1	-1	1	0	0	0.383	0.017
2	0	1	10	0	5	0	1	0	0	1	1.55	24.5	0	-1	-1	-1	-1	-1	1.517	9	-1	-1	1	0	0	0.383	0.017
2	0	1	10	0	5	0	1	0	0	1	1.8	24.5	0	-1	-1	-1	-1	-1	1.517	9	-1	-1	1	0	0	0.383	0.017
2	0	1	10	0	5	0	1	0	0	1	1.8	29.75	0	-1	-1	-1	-1	-1	1.517	9	-1	-1	0	0	0	0.383	0.017
3	1	0	0	0	2	0	0	0	0	0	1.5	24	0	0.5	0.017	1	1	0	1.633	11.5	0.333	0	-1	0	0	0.517	0.333
3	0	1	10	0	2	0	0	0	0	0	1.767	19.2	0	-1	-1	-1	-1	-1	1.967	12.65	-1	-1	0	0	0	0.517	0.333
3	0	1	10	0	2	0	0	0	0	0	1.767	19.2	0	-1	-1	-1	-1	-1	1.967	11.5	-1	-1	0	0	0	0.517	0.333
3	0	1	10	0	2	0	0	0	0	0	1.6	19.2	0	-1	-1	-1	-1	-1	1.967	11.5	-1	-1	1	0	0	0.517	0.333
3	0	1	11	0	2	0	0	0	0	0	1.767	19.2	0	-1	-1	-1	-1	-1	1.967	16.1	-1	-1	0	0	0	0.517	0.333
3	0	1	11	0	2	0	0	0	0	0	2.017	14.4	0	-1	-1	-1	-1	-1	1.967	11.5	-1	-1	0	0	0	0.517	0.333
3	0	1	11	0	2	0	0	0	0	0	1.767	14.4	0	-1	-1	-1	-1	-1	1.967	11.5	-1	-1	1	0	0	0.517	0.333
4	1	0	0	0	3	1	1	1	0	0	1	7.8	1	0.5	0.25	0	1	0	1.5	8.333	0.5	1	-1	1	0	0.75	0.5
4	0	1	10	0	3	1	1	1	0	0	1.75	6.65	1	-1	-1	-1	-1	-1	2	8.333	-1	-1	0	1	0	0.75	0.5
4	0	1	10	0	3	1	1	1	0	0	1.75	5.45	1	-1	-1	-1	-1	-1	2	8.333	-1	-1	1	1	0	0.75	0.5
4	0	1	11	0	3	1	1	1	0	0	1.75	6.65	1	-1	-1	-1	-1	-1	2	10	-1	-1	0	1	0	0.75	0.5
4	0	1	11	0	3	1	1	1	0	0	1.75	7.8	0	-1	-1	-1	-1	-1	2	8.333	-1	-1	1	1	0	0.75	0.5
5	1	0	0	0	3	0	0	0	0	1	1.667	28	1	0.2	0.167	1	0	0	1.25	5	0.017	1	-1	1	0	0.367	0.017
5	0	1	11	0	3	0	0	0	0	1	1.533	14	1	-1	-1	-1	-1	-1	1.267	7.5	-1	-1	0	1	0	0.367	0.017
6	1	0	1	1	1	1	0	0	1	0	1.75	31.2	1	0.167	0.167	0	0	1	1.5	90	0.083	1	-1	1	1	0.334	0.083
6	0	1	10	1	1	1	0	0	1	0	2.333	31.2	1	-1	-1	-1	-1	-1	1.583	90	-1	-1	1	1	1	0.333	0.083
6	0	1	10	1	1	1	0	0	1	0	2.583	39	2	-1	-1	-1	-1	-1	1.583	90	-1	-1	1	1	1	0.333	0.083
6	0	1	11	1	1	1	0	0	1	0	2.083	46.8	1	-1	-1	-1	-1	-1	1.583	45	-1	-1	1	1	1	0.333	0.083
6	0	1	11	1	1	1	0	0	1	0	2.083	46.8	1	-1	-1	-1	-1	-1	1.583	54	-1	-1	1	1	1	0.333	0.083
6	0	1	11	1	1	1	0	0	1	0	2.083	46.8	1	-1	-1	-1	-1	-1	1.583	63	-1	-1	1	1	1	0.333	0.083
6	0	1	11	1	1	1	0	0	1	0	2.083	46.8	1	-1	-1	-1	-1	-1	1.583	72	-1	-1	1	1	1	0.333	0.083
6	0	1	11	1	1	1	0	0	1	0	2.083	46.8	1	-1	-1	-1	-1	-1	1.583	81	-1	-1	1	1	1	0.333	0.083
