	id	rp	sp	choice	purpose	npersons	age	employ_status	mainearn	arrival_time	gender	rail_ivtt	rail_cost	rail_transfers	rail_acc_time	rail_egr_time	rail_acc_mode	rail_egr_mode	seat_status	car_ivtt	car_cost	car_walk_time	car_parking_fee	rail_comfort	rp_transfer	rp_choice	rp_rail_ovt	rp_car_ovt
0	1	1	0	0	0	3	0	0	0	0	1	2.0	40.0	0	0.333	0.167	0	0	0	1.0	5.0	0.167	0	-1	0	0	0.5	0.167
1	1	0	1	10	0	3	0	0	0	0	1	2.167	24.0	0	-1.0	-1.0	-1	-1	-1	1.167	7.5	-1.0	-1	0	0	0	0.5	0.167
2	1	0	1	10	0	3	0	0	0	0	1	2.167	24.0	0	-1.0	-1.0	-1	-1	-1	1.167	7.0	-1.0	-1	0	0	0	0.5	0.167
3	1	0	1	10	0	3	0	0	0	0	1	2.167	24.0	0	-1.0	-1.0	-1	-1	-1	1.167	6.5	-1.0	-1	0	0	0	0.5	0.167
4	1	0	1	10	0	3	0	0	0	0	1	2.167	24.0	0	-1.0	-1.0	-1	-1	-1	1.167	6.0	-1.0	-1	0	0	0	0.5	0.167
5	1	0	1	10	0	3	0	0	0	0	1	2.167	24.0	0	-1.0	-1.0	-1	-1	-1	1.167	5.5	-1.0	-1	0	0	0	0.5	0.167
6	1	0	1	10	0	3	0	0	0	0	1	2.167	24.0	0	-1.0	-1.0	-1	-1	-1	1.167	5.0	-1.0	-1	0	0	0	0.5	0.167
7	1	0	1	10	0	3	0	0	0	0	1	2.5	32.0	0	-1.0	-1.0	-1	-1	-1	1.167	5.0	-1.0	-1	0	0	0	0.5	0.167
8	1	0	1	10	0	3	0	0	0	0	1	2.5	24.0	0	-1.0	-1.0	-1	-1	-1	1.167	5.0	-1.0	-1	1	0	0	0.5	0.167
9	2	1	0	0	0	5	0	1	0	0	1	1.633	35.0	0	0.133	0.25	0	0	0	1.5	9.0	0.017	1	-1	0	0	0.383	0.017
10	2	0	1	10	0	5	0	1	0	0	1	1.55	24.5	0	-1.0	-1.0	-1	-1	-1	1.517	13.5	-1.0	-1	1	0	0	0.383	0.017
11	2	0	1	10	0	5	0	1	0	0	1	1.55	24.5	0	-1.0	-1.0	-1	-1	-1	1.517	12.6	-1.0	-1	1	0	0	0.383	0.017
12	2	0	1	10	0	5	0	1	0	0	1	1.55	24.5	0	-1.0	-1.0	-1	-1	-1	1.517	11.7	-1.0	-1	1	0	0	0.383	0.017
13	2	0	1	10	0	5	0	1	0	0	1	1.55	24.5	0	-1.0	-1.0	-1	-1	-1	1.517	10.8	-1.0	-1	1	0	0	0.383	0.017
14	2	0	1	10	0	5	0	1	0	0	1	1.55	24.5	0	-1.0	-1.0	-1	-1	-1	1.517	9.9	-1.0	-1	1	0	0	0.383	0.017
15	2	0	1	10	0	5	0	1	0	0	1	1.55	24.5	0	-1.0	-1.0	-1	-1	-1	1.517	9.0	-1.0	-1	1	0	0	0.383	0.017
16	2	0	1	10	0	5	0	1	0	0	1	1.8	24.5	0	-1.0	-1.0	-1	-1	-1	1.517	9.0	-1.0	-1	1	0	0	0.383	0.017
17	2	0	1	10	0	5	0	1	0	0	1	1.8	29.75	0	-1.0	-1.0	-1	-1	-1	1.517	9.0	-1.0	-1	0	0	0	0.383	0.017
18	3	1	0	0	0	2	0	0	0	0	0	1.5	24.0	0	0.5	0.017	1	1	0	1.633	11.5	0.333	0	-1	0	0	0.517	0.333
